State_UT,Code,POPULATION,AREA,DENSITY (2021),DENSITY Scaling,AREA Scaling,Health_Index,HIV_Cases,HIV_Cases_Scaling,TB_Cases,TB_Cases_Scaling
Andaman and Nicobar Islands,AN,380581,8249,46,1.38,3.38,44.74,426,1.01,516,1.11
Andhra Pradesh,AD,49577103,162968,303,3.63,48.14,69.95,,,87762,19.69
Arunachal Pradesh,AR,1383727,83743,17,1.12,25.22,33.92,686,1.02,2872,1.61
Assam,AS,31205576,78438,397,4.46,23.68,47.74,25073,1.63,37730,9.03
Bihar,BR,104099452,94163,1102,10.64,28.23,31,142793,4.58,135488,29.85
Chandigarh,CH,1055450,114,9252,82.07,1.02,62.53,1921,1.05,3242,1.69
Chhattisgarh,CG,25545198,135191,189,2.63,40.1,50.7,39626,1.99,32615,7.94
Dadra & Nagar Haveli and Daman & Diu,DNHDD,586956,603,973,9.5,1.17,66.2,1543,1.04,764,1.16
Delhi,DL,16787941,1484,11297,100,1.42,49.84,55801,2.4,84302,18.95
Goa,GA,1458545,3702,394,4.43,2.06,53.68,4596,1.12,2038,1.43
Gujarat,GJ,60439692,196024,308,3.68,57.7,63.59,113532,3.85,141284,31.08
Haryana,HR,25351462,44212,573,6,13.78,49.26,49976,2.25,71253,16.17
Himachal Pradesh,HP,6864602,55673,123,2.05,17.1,63.17,7139,1.18,14797,4.15
Jammu and Kashmir,JK,12267032,125535,98,1.83,37.31,46.99,6385,1.16,11005,3.34
Jharkhand,JH,32988134,79714,414,4.6,24.05,47.55,24671,1.62,53176,12.32
Karnataka,KA,61095297,191791,319,3.77,56.48,57.93,275880,7.92,71442,16.21
Kerala,KL,33406061,38863,859,8.51,12.23,82.2,21211,1.53,22024,5.69
Ladakh,LA,274000,96701,2.8,1,28.97,,142,1,319,1.06
Lakshadweep Islands,LD,64473,32,2013,18.62,1,51.87,0,1,20,1
Madhya Pradesh,MP,72626809,308245,236,3.04,90.17,36.72,54773,2.37,168248,36.83
Maharashtra,MH,112374333,307713,365,4.17,90.01,69.14,3948077,100,196595,42.86
Manipur,MN,2570390,22327,122,2.04,7.45,34.26,27989,1.7,1874,1.39
Meghalaya,ML,2966889,22429,132,2.13,7.48,43.05,8692,1.22,4193,1.89
Mizoram,MZ,1097206,21081,52,1.43,7.09,75.77,23802,1.6,1781,1.38
Nagaland,NL,1978502,16579,119,2.02,5.79,27,21730,1.54,3687,1.78
Odisha,OD,41974218,155707,269,3.33,46.04,44.31,52109,2.31,52147,12.1
Puducherry,PY,1247953,479,2598,23.75,1.13,50.83,3962,1.1,1409,1.3
Punjab,PB,27743338,50362,550,5.8,15.56,58.08,72954,2.83,52076,12.09
Rajasthan,RJ,68548437,342239,201,2.74,100,41.33,67186,2.68,151034,33.16
Sikkim,SK,610577,7096,86,1.73,3.04,55.53,468,1.01,1439,1.3
Tamil Nadu,TN,72147030,130058,555,5.84,38.62,72.42,162857,5.08,85010,19.1
Telangana,TS,35003674,112077,312,3.71,33.41,69.96,755994,19.96,60924,13.97
Tripura,TR,3673917,10486,350,4.04,4.02,70.16,3608,1.09,2777,1.59
Uttar Pradesh,UP,199812341,240928,828,8.23,70.69,30.57,178134,5.47,464899,100
Uttarakhand,UK,10086292,53483,189,2.63,16.46,44.21,14327,1.36,23576,6.02
West Bengal,WB,91276115,88752,1029,10,26.67,,69199,2.74,91512,20.48
